participant_id,trial,word,ink_color,congruent,response,correct,rt_ms
p-001,1,yellow,green,False,green,True,1670
p-001,2,green,blue,False,blue,True,998
p-001,3,yellow,yellow,True,yellow,True,863
p-001,4,yellow,yellow,True,yellow,True,648
p-001,5,yellow,green,False,green,True,885
p-001,6,red,red,True,red,True,640
p-001,7,red,red,True,red,True,477
p-001,8,green,red,False,red,True,1291
p-001,9,yellow,red,False,red,True,654
p-001,10,green,blue,False,blue,True,676
p-001,11,blue,red,False,red,True,515
p-001,12,red,red,True,red,True,456
p-001,13,blue,red,False,red,True,419
p-001,14,red,red,True,red,True,409
p-001,15,blue,red,False,red,True,444
p-001,16,blue,blue,True,blue,True,565
p-001,17,yellow,yellow,True,yellow,True,495
p-001,18,green,green,True,green,True,560
p-001,19,red,green,False,green,True,1002
p-001,20,red,red,True,red,True,506
